datetime,user,steps,hr,intensity,kind,school
2021-05-17 00:00:00,4,0,63,0,112,True
2021-05-17 00:00:00,5,0,255,14,112,True
2021-05-17 00:00:00,6,0,255,0,112,True
2021-05-17 00:00:00,9,0,65,0,112,True
2021-05-17 00:00:00,10,0,255,8,121,True
2021-05-17 00:00:00,11,0,71,0,112,True
2021-05-17 00:00:00,12,0,255,0,115,True
2021-05-17 00:00:00,15,0,255,0,115,True
2021-05-17 00:00:00,16,0,255,0,112,True
2021-05-17 00:00:00,17,0,255,0,112,True
2021-05-17 00:01:00,4,0,255,0,112,True
2021-05-17 00:01:00,5,0,102,11,121,True
2021-05-17 00:01:00,6,0,75,0,112,True
2021-05-17 00:01:00,9,0,255,0,112,True
2021-05-17 00:01:00,10,0,69,0,80,True
2021-05-17 00:01:00,11,0,255,0,112,True
2021-05-17 00:01:00,12,0,255,0,115,True
2021-05-17 00:01:00,15,0,255,0,115,True
2021-05-17 00:01:00,16,0,85,0,112,True
2021-05-17 00:01:00,17,0,63,0,112,True
2021-05-17 00:02:00,4,0,61,0,112,True
2021-05-17 00:02:00,5,0,255,0,80,True
2021-05-17 00:02:00,6,0,255,0,112,True
2021-05-17 00:02:00,9,0,67,0,112,True
2021-05-17 00:02:00,10,0,255,0,80,True
2021-05-17 00:02:00,11,0,78,0,112,True
2021-05-17 00:02:00,12,0,255,0,115,True
2021-05-17 00:02:00,15,0,255,0,115,True
2021-05-17 00:02:00,16,0,255,0,112,True
2021-05-17 00:02:00,17,0,255,0,112,True
2021-05-17 00:03:00,4,0,255,0,112,True
2021-05-17 00:03:00,5,0,78,0,80,True
2021-05-17 00:03:00,6,0,74,0,112,True
2021-05-17 00:03:00,9,0,255,0,112,True
2021-05-17 00:03:00,10,0,68,4,80,True
2021-05-17 00:03:00,11,0,255,0,112,True
2021-05-17 00:03:00,12,0,255,0,115,True
2021-05-17 00:03:00,15,0,255,0,115,True
2021-05-17 00:03:00,16,0,84,0,112,True
2021-05-17 00:03:00,17,0,64,0,112,True
2021-05-17 00:04:00,4,0,75,25,112,True
2021-05-17 00:04:00,5,0,255,0,80,True
2021-05-17 00:04:00,6,0,255,0,112,True
2021-05-17 00:04:00,9,0,67,0,112,True
2021-05-17 00:04:00,10,0,255,0,90,True
2021-05-17 00:04:00,11,0,70,0,112,True
2021-05-17 00:04:00,12,0,255,0,115,True
2021-05-17 00:04:00,15,0,255,0,115,True
2021-05-17 00:04:00,16,0,255,0,112,True
2021-05-17 00:04:00,17,0,255,0,112,True
2021-05-17 00:05:00,4,0,255,0,122,True
2021-05-17 00:05:00,5,0,85,0,80,True
2021-05-17 00:05:00,6,0,63,0,112,True
2021-05-17 00:05:00,9,0,255,0,112,True
2021-05-17 00:05:00,10,0,67,0,90,True
2021-05-17 00:05:00,11,0,255,0,112,True
2021-05-17 00:05:00,12,0,255,0,115,True
2021-05-17 00:05:00,15,0,255,0,115,True
2021-05-17 00:05:00,16,0,78,0,112,True
2021-05-17 00:05:00,17,0,68,0,112,True
2021-05-17 00:06:00,4,0,63,3,112,True
2021-05-17 00:06:00,5,0,255,9,80,True
2021-05-17 00:06:00,6,0,255,0,112,True
2021-05-17 00:06:00,9,0,64,19,112,True
2021-05-17 00:06:00,10,0,255,0,80,True
2021-05-17 00:06:00,11,0,71,0,112,True
2021-05-17 00:06:00,12,0,255,0,115,True
2021-05-17 00:06:00,15,0,255,0,115,True
2021-05-17 00:06:00,16,0,255,0,112,True
2021-05-17 00:06:00,17,0,255,0,112,True
2021-05-17 00:07:00,4,0,255,0,122,True
2021-05-17 00:07:00,5,0,71,19,80,True
2021-05-17 00:07:00,6,0,70,0,112,True
2021-05-17 00:07:00,9,0,255,0,112,True
2021-05-17 00:07:00,10,0,70,0,80,True
2021-05-17 00:07:00,11,0,255,0,112,True
2021-05-17 00:07:00,12,0,255,0,115,True
2021-05-17 00:07:00,15,0,255,0,115,True
2021-05-17 00:07:00,16,0,86,0,112,True
2021-05-17 00:07:00,17,0,66,0,112,True
2021-05-17 00:08:00,4,0,70,0,112,True
2021-05-17 00:08:00,5,0,255,47,80,True
2021-05-17 00:08:00,6,0,255,0,112,True
2021-05-17 00:08:00,9,0,64,0,112,True
2021-05-17 00:08:00,10,0,255,0,112,True
2021-05-17 00:08:00,11,0,71,0,112,True
2021-05-17 00:08:00,12,0,255,0,115,True
2021-05-17 00:08:00,15,0,255,0,115,True
2021-05-17 00:08:00,16,0,255,0,112,True
2021-05-17 00:08:00,17,0,255,0,112,True
2021-05-17 00:09:00,4,0,255,0,112,True
2021-05-17 00:09:00,5,0,71,0,89,True
2021-05-17 00:09:00,6,0,78,0,112,True
2021-05-17 00:09:00,9,0,255,0,112,True
2021-05-17 00:09:00,10,0,71,0,112,True
2021-05-17 00:09:00,11,0,255,0,112,True
2021-05-17 00:09:00,12,0,255,0,115,True
2021-05-17 00:09:00,15,0,255,0,115,True
2021-05-17 00:09:00,16,0,79,0,112,True
2021-05-17 00:09:00,17,0,73,0,112,True
2021-05-17 00:10:00,4,0,72,0,112,True
2021-05-17 00:10:00,5,0,255,7,80,True
2021-05-17 00:10:00,6,0,255,0,112,True
2021-05-17 00:10:00,9,0,66,0,112,True
2021-05-17 00:10:00,10,0,255,0,122,True
2021-05-17 00:10:00,11,0,78,0,112,True
2021-05-17 00:10:00,12,0,255,0,115,True
2021-05-17 00:10:00,15,0,255,0,115,True
2021-05-17 00:10:00,16,0,255,0,112,True
2021-05-17 00:10:00,17,0,255,0,112,True
2021-05-17 00:11:00,4,0,255,0,112,True
2021-05-17 00:11:00,5,0,76,25,89,True
2021-05-17 00:11:00,6,0,71,0,122,True
2021-05-17 00:11:00,9,0,255,0,112,True
2021-05-17 00:11:00,10,0,69,0,122,True
2021-05-17 00:11:00,11,0,255,0,112,True
2021-05-17 00:11:00,12,0,255,0,115,True
2021-05-17 00:11:00,15,0,255,0,115,True
2021-05-17 00:11:00,16,0,78,0,112,True
2021-05-17 00:11:00,17,0,65,0,112,True
2021-05-17 00:12:00,4,0,74,0,112,True
2021-05-17 00:12:00,5,0,255,0,80,True
2021-05-17 00:12:00,6,0,255,0,122,True
2021-05-17 00:12:00,9,0,69,0,112,True
2021-05-17 00:12:00,10,0,255,0,112,True
2021-05-17 00:12:00,11,0,71,0,112,True
2021-05-17 00:12:00,12,0,255,0,115,True
2021-05-17 00:12:00,15,0,255,0,115,True
2021-05-17 00:12:00,16,0,255,0,112,True
2021-05-17 00:12:00,17,0,255,0,112,True
2021-05-17 00:13:00,4,0,255,0,122,True
2021-05-17 00:13:00,5,0,79,0,80,True
2021-05-17 00:13:00,6,0,63,0,112,True
2021-05-17 00:13:00,9,0,255,0,112,True
2021-05-17 00:13:00,10,0,72,0,112,True
2021-05-17 00:13:00,11,0,255,4,112,True
2021-05-17 00:13:00,12,0,255,0,115,True
2021-05-17 00:13:00,15,0,255,0,115,True
2021-05-17 00:13:00,16,0,78,0,112,True
2021-05-17 00:13:00,17,0,64,0,112,True
2021-05-17 00:14:00,4,0,74,11,112,True
2021-05-17 00:14:00,5,0,255,0,80,True
2021-05-17 00:14:00,6,0,255,0,112,True
2021-05-17 00:14:00,9,0,67,0,112,True
2021-05-17 00:14:00,10,0,255,0,112,True
2021-05-17 00:14:00,11,0,70,0,112,True
2021-05-17 00:14:00,12,0,255,0,115,True
2021-05-17 00:14:00,15,0,255,0,115,True
2021-05-17 00:14:00,16,0,255,0,112,True
2021-05-17 00:14:00,17,0,255,0,112,True
2021-05-17 00:15:00,4,0,255,0,122,True
2021-05-17 00:15:00,5,0,78,33,80,True
2021-05-17 00:15:00,6,0,70,0,112,True
2021-05-17 00:15:00,9,0,255,0,112,True
2021-05-17 00:15:00,10,0,69,0,112,True
2021-05-17 00:15:00,11,0,255,0,112,True
2021-05-17 00:15:00,12,0,255,0,115,True
2021-05-17 00:15:00,15,0,255,0,115,True
